Job_ID,Job_Title,Location,Company_ID,Company_Name,Industry,Employee_Count,LinkedIn_Followers,Class,Detail_ID,Emp_level,Total_Applicants
J243,Application Alyst,"Pune, Maharashtra,India",C210,VIAVI Solutions,Telecommunications,10000,75719,Class-1,164,Associate,19
J244,Software Developer,"Pune, Maharashtra,India",C211,Hansen Technologies,Software Development,10000,24385,Class-1,165,Mid Senior level,170
J245,Developer,"Pune, Maharashtra,India",C157,Wipro,IT Services and IT Consulting,10000,6072255,Class-3,166,NULL,128
J246,Software Developer,"Pune, Maharashtra,India",C211,Hansen Technologies,Software Development,200,24385,Class-1,167,Mid Senior level,100
J247,SmartServ - Frontend Developer - Javascript,"Pune, Maharashtra,India",C212,SmartServ,Software Development,5000,14628,Class-1,168,Entry level,100
J248,Software Engr II,"Pune, Maharashtra,India",C43,Honeywell,Electrical & Electronic Manufacturing,200,2221925,Class-3,169,Entry level,61
J249,Developer,"Pune, Maharashtra,India",C157,Wipro,IT Services and IT Consulting,10001,6072255,Class-3,170,NULL,144
J25,Associate Alyst-Quality BI,"Pune, Maharashtra,India",C19,Eaton  ,Electrical & Electronic Manufacturing ,200,1242164,Class-1,24,Mid-Senior level,1
J250,Engineer - CiNavil Structural,"Vadodara, Gujarat,India",C208,Air Products India,Chemical Manufacturing,10000,30048,Class-1,171,NULL,63
J251,Engineer - CiNavil Structural,"Vadodara, Gujarat,India",C208,Air Products India,Chemical Manufacturing,10000,30048,Class-1,172,NULL,59
J252,Software Engineer - SerNavice Now Developer - SerNavice Portal,"Pune, Maharashtra,India",C203,Amdocs,Telecommunications,10000,855528,Class-1,173,Entry level,187
J253,"Associate, Solution Engineering","Pune, Maharashtra,India",C206,Western Union,Fincial Services,50,234769,Class-1,161,Entry level,1
J254,Python Developer,"Ahmedabad, Gujarat,India",C213,Yudiz Solutions,IT Services and IT Consulting,10000,19488,Class-1,13,Entry level,200
J255,"Junior Associate, Technology Operations (SerNaviceNow Developer)","Pune, Maharashtra,India",C206,Western Union,Fincial Services,10000,234769,Class-1,174,Entry level,19
J256,Windows+MAC OS Technical Support Alyst,"Pune, Maharashtra,India",C214,BMC Software,IT Services and IT Consulting,10000,239980,Class-1,166,NULL,128
